default,0,2,4,6,8,10
0,-0.027,-0.256,-0.956,-0.957,-0.958,-1.242
0.100,-0.522,-0.550,-0.957,-0.958,-0.959,-1.243
0.200,-0.715,-0.770,-1.049,-1.050,-1.060,-1.244
0.300,-0.892,-0.893,-1.050,-1.051,-1.061,-1.245
0.400,-1.084,-1.197,-1.312,-1.313,-1.328,-1.337
0.500,-1.130,-1.274,-1.313,-1.314,-1.329,-1.338
0.600,-1.479,-2.333,-2.334,-2.335,-2.336,-2.337
1.000,-1.726,-2.334,-2.335,-2.336,-2.488,-2.505
1.200,-3.200,-3.200,-3.200,-3.200,-3.200,-3.200
