default,0,2,4,6,8,10
0,-0.300,-0.301,-0.302,-0.303,-0.735,-0.736
0.100,-0.500,-0.501,-0.723,-0.735,-0.736,-0.737
0.200,-0.700,-0.701,-0.735,-0.736,-0.737,-0.738
0.300,-0.900,-0.901,-0.902,-0.903,-0.904,-0.905
0.400,-1.100,-1.101,-1.102,-1.103,-1.104,-1.105
0.500,-1.300,-1.301,-1.302,-1.303,-1.304,-1.305
0.600,-1.500,-1.501,-1.502,-1.503,-1.504,-1.505
1.000,-2.500,-2.500,-2.500,-2.500,-2.500,-2.500
