default,0,2,4,6,8,10
0,-0.300,-0.301,-0.302,-0.303,-0.735,-0.736
0.100,0.000,-0.001,-0.002,-0.003,-0.004,-0.005
0.200,0.010,0.009,-0.001,-0.002,-0.003,-0.004
0.300,0.050,0.049,0.000,-0.000,-0.003,-0.004
0.400,0.100,0.099,0.001,0.000,-0.001,-0.002
0.500,0.175,0.174,0.012,0.011,0.010,0.009
0.600,0.250,0.249,0.014,0.013,0.012,0.011
0.800,0.700,0.699,0.015,0.014,0.013,0.012
1.000,1.000,1.000,0.757,0.849,1.000,1.000
